<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,D,19710311,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710312,000000,0.5368,0.5368,0.5368,0.5368,0,0
EURUSD,D,19710315,000000,0.5368,0.5368,0.5368,0.5368,0,0
EURUSD,D,19710316,000000,0.5367,0.5367,0.5367,0.5367,0,0
EURUSD,D,19710317,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710318,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710319,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710322,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710323,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710324,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710325,000000,0.537,0.537,0.537,0.537,0,0
EURUSD,D,19710326,000000,0.5371,0.5371,0.5371,0.5371,0,0
EURUSD,D,19710329,000000,0.537,0.537,0.537,0.537,0,0
EURUSD,D,19710330,000000,0.5372,0.5372,0.5372,0.5372,0,0
EURUSD,D,19710331,000000,0.5373,0.5373,0.5373,0.5373,0,0
EURUSD,D,19710401,000000,0.5373,0.5373,0.5373,0.5373,0,0
EURUSD,D,19710402,000000,0.5373,0.5373,0.5373,0.5373,0,0
EURUSD,D,19710405,000000,0.5371,0.5371,0.5371,0.5371,0,0
